"","County","State","index","Rate"
"1","Abbeville County","SC","94.87",4.2
"2","Accomack County","VA","89.20",5
"3","Ada County","ID","85.93",3.4
"4","Adair County","IA","93.33",2.3
"5","Adair County","KY","93.70",5.2
"6","Adair County","MO","95.77",4.9
"7","Adair County","OK","96.52",5.6
"8","Adams County","CO","86.53",3
"9","Adams County","IA","93.80",2.1
"10","Adams County","ID","81.76",6.3
"11","Adams County","IL","96.56",4.3
"12","Adams County","IN","91.92",3
"13","Adams County","MS","96.99",7.3
"14","Adams County","ND","87.07",2.1
"15","Adams County","NE","92.77",2.8
"16","Adams County","OH","92.75",6.4
"17","Adams County","PA","90.02",3.5
"18","Adams County","WA","84.83",7.2
"19","Adams County","WI","90.44",5.2
"20","Addison County","VT","88.55",2.6
"21","Aiken County","SC","95.49",4
"22","Aitkin County","MN","88.56",5.7
"23","Alamance County","NC","92.87",4.4
"24","Alameda County","CA","84.80",4
"25","Alamosa County","CO","81.60",3.3
"26","Albany County","NY","88.72",3.8
"27","Albany County","WY","80.90",2.6
"28","Albemarle County","VA","91.96",3.3
"29","Alcona County","MI","88.49",6.9
"30","Alcorn County","MS","96.18",4.8
"31","Alexander County","IL","97.40",7.7
"32","Alexander County","NC","91.04",4
"33","Alfalfa County","OK","97.16",3.1
"34","Alger County","MI","88.01",8.4
"35","Allamakee County","IA","91.95",4.2
"36","Allegan County","MI","90.74",3.3
"37","Allegany County","MD","89.09",5.2
"38","Allegany County","NY","86.28",5
"39","Alleghany County","NC","85.69",5.4
"40","Alleghany County","VA","87.33",5.2
"41","Allegheny County","PA","89.60",4.8
"42","Allen County","IN","91.91",3.7
"43","Allen County","KS","97.35",4.8
"44","Allen County","KY","94.64",3.3
"45","Allen County","OH","91.54",4.5
"46","Allendale County","SC","96.18",7.3
"47","Alpena County","MI","88.02",5
"48","Alpine County","CA","79.80",7.4
"49","Amador County","CA","86.97",5.5
"50","Amelia County","VA","93.12",4.1
"51","Amherst County","VA","91.31",4.3
"52","Amite County","MS","95.47",6.5
"53","Anderson County","KS","96.95",3.7
"54","Anderson County","KY","93.55",3.1
"55","Anderson County","SC","94.15",3.6
"56","Anderson County","TN","91.54",4.8
"57","Anderson County","TX","97.70",3.8
"58","Andrew County","MO","95.55",3
"59","Andrews County","TX","90.61",4
"60","Androscoggin County","ME","87.67",3.5
"61","Angelina County","TX","97.28",5.6
"62","Anne Arundel County","MD","90.37",3.5
"63","Anoka County","MN","91.00",3.2
"64","Anson County","NC","94.68",5.5
"65","Antelope County","NE","92.07",2.1
"66","Antrim County","MI","87.85",6.3
"67","Apache County","AZ","83.57",10.1
"68","Appanoose County","IA","95.14",4.6
"69","Appomattox County","VA","92.44",4.6
"70","Aransas County","TX","95.15",5.5
"71","Arapahoe County","CO","85.32",2.6
"72","Archer County","TX","97.47",3.8
"73","Archuleta County","CO","80.94",2.9
"74","Arenac County","MI","88.97",7.1
"75","Arkansas County","AR","97.93",3.4
"76","Arlington County","VA","92.71",2.7
"77","Armstrong County","PA","88.80",6.4
"78","Armstrong County","TX","91.61",2.8
"79","Aroostook County","ME","86.55",5.7
"80","Arthur County","NE","87.50",7.4
"81","Ashe County","NC","84.95",4.3
"82","Ashland County","OH","90.26",4.5
"83","Ashland County","WI","88.81",4.8
"84","Ashley County","AR","97.86",5.8
"85","Ashtabula County","OH","89.55",5.5
"86","Asotin County","WA","83.55",4.6
"87","Atascosa County","TX","97.63",4.7
"88","Atchison County","KS","96.04",5.7
"89","Atchison County","MO","94.91",3.6
"90","Athens County","OH","91.97",5.1
"91","Atlantic County","NJ","91.06",7.1
"92","Atoka County","OK","98.21",6.2
"93","Attala County","MS","95.95",6.2
"94","Audrain County","MO","96.68",3.3
"95","Audubon County","IA","92.45",2.2
"96","Auglaize County","OH","91.36",3.4
"97","Augusta County","VA","87.94",3.8
"98","Aurora County","SD","91.75",2.2
"99","Austin County","TX","97.28",4.7
"100","Autauga County","AL","95.68",4.9
"101","Avery County","NC","84.08",4.7
"102","Baca County","CO","88.89",1.5
"103","Bailey County","TX","89.29",4.1
"104","Baker County","OR","82.27",6
"105","Baldwin County","AL","95.37",5.2
"106","Ballard County","KY","97.25",6.9
"107","Baltimore County","MD","91.43",4.3
"108","Bamberg County","SC","96.11",7.4
"109","Bandera County","TX","93.69",3.9
"110","Banner County","NE","86.13",2.7
"111","Bannock County","ID","82.11",3.5
"112","Baraga County","MI","87.10",6.9
"113","Barber County","KS","95.64",3.4
"114","Barbour County","AL","95.22",8.1
"115","Barbour County","WV","88.40",5.3
"116","Barnes County","ND","89.03",2.4
"117","Barnstable County","MA","86.99",3.4
"118","Barnwell County","SC","95.97",5.8
"119","Barren County","KY","94.51",3.8
"120","Barron County","WI","89.45",3.6
"121","Barry County","MI","90.85",3.3
"122","Barry County","MO","95.40",3.7
"123","Bartholomew County","IN","93.83",2.9
"124","Barton County","KS","94.44",4.1
"125","Barton County","MO","97.75",5.3
"126","Bastrop County","TX","97.76",3.4
"127","Bates County","MO","97.97",4.3
"128","Bath County","KY","92.83",5.6
"129","Bath County","VA","86.84",3.6
"130","Baxter County","AR","96.89",4
"131","Bay County","MI","89.77",4.4
"132","Bayfield County","WI","88.85",6.2
"133","Baylor County","TX","96.84",3.4
"134","Beadle County","SD","92.13",2.3
"135","Bear Lake County","ID","80.42",4.1
"136","Beaufort County","NC","94.50",5.5
"137","Beaufort County","SC","94.99",3.8
"138","Beaver County","OK","93.13",2.7
"139","Beaver County","PA","89.64",5.7
"140","Beaver County","UT","82.65",4.6
"141","Beaverhead County","MT","80.00",3
"142","Becker County","MN","87.95",3.8
"143","Beckham County","OK","94.96",6.8
"144","Bedford County","PA","88.01",5.3
"145","Bedford County","TN","94.17",4.7
"146","Bedford County","VA","91.17",4.1
"147","Bee County","TX","97.12",7.1
"148","Belknap County","NH","87.56",2.5
"149","Bell County","KY","89.99",6.7
"150","Bell County","TX","97.47",4.1
"151","Belmont County","OH","90.28",6
"152","Beltrami County","MN","87.64",4.1
"153","Benewah County","ID","82.18",6.1
"154","Bennett County","SD","88.04",3.5
"155","Bennington County","VT","87.02",3.5
"156","Benson County","ND","87.55",3.4
"157","Bent County","CO","89.28",2.6
"158","Benton County","AR","95.72",2.7
"159","Benton County","IA","93.50",3
"160","Benton County","IN","93.21",3.7
"161","Benton County","MN","89.83",3.4
"162","Benton County","MO","97.42",4.9
"163","Benton County","MS","96.07",5.4
"164","Benton County","OR","84.26",3.4
"165","Benton County","TN","96.28",6.2
"166","Benton County","WA","86.16",6.2
"167","Benzie County","MI","88.43",5.3
"168","Bergen County","NJ","89.85",3.4
"169","Berkeley County","SC","95.28",3.6
"170","Berkeley County","WV","90.78",3.3
"171","Berks County","PA","90.07",4.5
"172","Berkshire County","MA","87.60",2.9
"173","Bernalillo County","NM","85.35",5.6
"174","Berrien County","MI","91.90",4.4
