State,Area name,"Percent of adults with a bachelor's degree or higher, 2012-2016"
US,United States,30.315
AL,Alabama,24.01
AL,Autauga County,24.593
AL,Baldwin County,29.547
AL,Barbour County,12.868
AL,Bibb County,12
AL,Blount County,13.05
AL,Bullock County,10.255
AL,Butler County,16.08
AL,Calhoun County,17.653
AL,Chambers County,12.484
AL,Cherokee County,13.962
AL,Chilton County,14.855
AL,Choctaw County,11.96
AL,Clarke County,12.137
AL,Clay County,11.063
AL,Cleburne County,11.528
AL,Coffee County,23.667
AL,Colbert County,18.471
AL,Conecuh County,8.663
AL,Coosa County,9.941
AL,Covington County,14.921
AL,Crenshaw County,14.648
AL,Cullman County,14.969
AL,Dale County,16.069
AL,Dallas County,13.784
AL,DeKalb County,11.366
AL,Elmore County,22.238
AL,Escambia County,11.626
AL,Etowah County,16.492
AL,Fayette County,14.145
AL,Franklin County,12.39
AL,Geneva County,11.662
AL,Greene County,9.975
AL,Hale County,14.029
AL,Henry County,16.144
AL,Houston County,21.018
AL,Jackson County,12.578
AL,Jefferson County,31.44
AL,Lamar County,13.063
AL,Lauderdale County,21.679
AL,Lawrence County,10.309
AL,Lee County,34.412
AL,Limestone County,23.261
AL,Lowndes County,12.282
AL,Macon County,20.042
AL,Madison County,40.672
AL,Marengo County,14.789
AL,Marion County,12.466
AL,Marshall County,16.567
AL,Mobile County,22.512
AL,Monroe County,12.395
AL,Montgomery County,31.46
AL,Morgan County,21.429
AL,Perry County,14.493
AL,Pickens County,11.119
AL,Pike County,23.988
AL,Randolph County,15.379
AL,Russell County,17.014
AL,St. Clair County,16.104
AL,Shelby County,41.423
AL,Sumter County,18.12
AL,Talladega County,13.091
AL,Tallapoosa County,17.316
AL,Tuscaloosa County,29.369
AL,Walker County,10.543
AL,Washington County,9.623
AL,Wilcox County,11.302
AL,Winston County,13.089
AK,Alaska,28.792
AK,Aleutian Islands,
AK,Aleutians East Borough,11.945
AK,Aleutians West Census Area,15.699
AK,Anchorage Municipality,34.298
AK,Bethel Census Area,11.417
AK,Bristol Bay Borough,19.106
AK,Denali Borough,38.523
AK,Dillingham Census Area,17.564
AK,Fairbanks North Star Borough,33.373
AK,Haines Borough,40.444
AK,Hoonah-Angoon Census Area,24.256
AK,Juneau City and Borough,39.434
AK,Kenai Peninsula Borough,23.681
AK,Ketchikan Gateway Borough,23.77
AK,Kodiak Island Borough,24.85
AK,Kusilvak Census Area,4.797
AK,Kuskokwim Division,
AK,Lake and Peninsula Borough,12.455
AK,Matanuska-Susitna Borough,20.588
AK,Nome Census Area,13.91
AK,North Slope Borough,14.182
AK,Northwest Arctic Borough,10.762
AK,Petersburg Census Area,25.012
AK,Prince of Wales-Hyder Census Area,15.792
AK,Prince of Wales-Outer Ketchikan Census Area,
AK,Sitka City and Borough,32.354
AK,Skagway Municipality,33.705
