State,Area_name,Median_Household_Income_2016
AL,"Autauga County, AL",54487.00 
AL,"Baldwin County, AL",56460.00 
AL,"Barbour County, AL",32884.00 
AL,"Bibb County, AL",43079.00 
AL,"Blount County, AL",47213.00 
AL,"Bullock County, AL",34278.00 
AL,"Butler County, AL",35409.00 
AL,"Calhoun County, AL",41778.00 
AL,"Chambers County, AL",39530.00 
AL,"Cherokee County, AL",41456.00 
AL,"Chilton County, AL",44188.00 
AL,"Choctaw County, AL",32691.00 
AL,"Clarke County, AL",34061.00 
AL,"Clay County, AL",38512.00 
AL,"Cleburne County, AL",43483.00 
AL,"Coffee County, AL",48632.00 
AL,"Colbert County, AL",46572.00 
AL,"Conecuh County, AL",29758.00 
AL,"Coosa County, AL",36441.00 
AL,"Covington County, AL",35010.00 
AL,"Crenshaw County, AL",37374.00 
AL,"Cullman County, AL",41543.00 
AL,"Dale County, AL",40523.00 
AL,"Dallas County, AL",30488.00 
AL,"DeKalb County, AL",37128.00 
AL,"Elmore County, AL",54553.00 
AL,"Escambia County, AL",35096.00 
AL,"Etowah County, AL",40972.00 
AL,"Fayette County, AL",38403.00 
AL,"Franklin County, AL",37049.00 
AL,"Geneva County, AL",36976.00 
AL,"Greene County, AL",26559.00 
AL,"Hale County, AL",35381.00 
AL,"Henry County, AL",41426.00 
AL,"Houston County, AL",42910.00 
AL,"Jackson County, AL",41407.00 
AL,"Jefferson County, AL",50109.00 
AL,"Lamar County, AL",38358.00 
AL,"Lauderdale County, AL",44124.00 
AL,"Lawrence County, AL",43107.00 
AL,"Lee County, AL",47749.00 
AL,"Limestone County, AL",52181.00 
AL,"Lowndes County, AL",32011.00 
AL,"Macon County, AL",30681.00 
AL,"Madison County, AL",61193.00 
AL,"Marengo County, AL",34794.00 
AL,"Marion County, AL",36386.00 
AL,"Marshall County, AL",42117.00 
AL,"Mobile County, AL",45233.00 
AL,"Monroe County, AL",36639.00 
AL,"Montgomery County, AL",45111.00 
AL,"Morgan County, AL",46843.00 
AL,"Perry County, AL",25221.00 
AL,"Pickens County, AL",35968.00 
AL,"Pike County, AL",35172.00 
AL,"Randolph County, AL",40283.00 
AL,"Russell County, AL",38617.00 
AL,"St. Clair County, AL",57856.00 
AL,"Shelby County, AL",74212.00 
AL,"Sumter County, AL",26814.00 
AL,"Talladega County, AL",40555.00 
AL,"Tallapoosa County, AL",40169.00 
AL,"Tuscaloosa County, AL",47483.00 
AL,"Walker County, AL",39511.00 
AL,"Washington County, AL",37575.00 
AL,"Wilcox County, AL",24216.00 
AL,"Winston County, AL",38644.00 
AK,"Aleutians East Borough, AK",63991.00 
AK,"Aleutians West Census Area, AK",78151.00 
AK,"Anchorage Borough/municipality, AK",83959.00 
AK,"Bethel Census Area, AK",46634.00 
AK,"Bristol Bay Borough, AK",68026.00 
AK,"Denali Borough, AK",72378.00 
AK,"Dillingham Census Area, AK",52250.00 
AK,"Fairbanks North Star Borough, AK",73427.00 
AK,"Haines Borough, AK",53471.00 
AK,"Hoonah-Angoon Census Area, AK",53884.00 
AK,"Juneau Borough/city, AK",82011.00 
AK,"Kenai Peninsula Borough, AK",68501.00 
AK,"Ketchikan Gateway Borough, AK",67125.00 
AK,"Kodiak Island Borough, AK",74683.00 
AK,"Kusilvak Census Area, AK",34341.00 
AK,"Lake and Peninsula Borough, AK",44310.00 
AK,"Matanuska-Susitna Borough, AK",71793.00 
AK,"Nome Census Area, AK",55974.00 
AK,"North Slope Borough, AK",74998.00 
AK,"Northwest Arctic Borough, AK",53692.00 
AK,"Petersburg Borough, AK",60540.00 
AK,"Prince of Wales-Hyder Census Area, AK",48888.00 
AK,"Prince of Wales-Outer Ketchikan Census Area, AK",
AK,"Sitka Borough/city, AK",72795.00 
AK,"Skagway Municipality, AK",65112.00 
AK,"Skagway-Hoonah-Angoon Census Area, AK",
AK,"Southeast Fairbanks Census Area, AK",59412.00 
AK,"Valdez-Cordova Census Area, AK",69755.00 
AK,"Wrangell Borough/city, AK",56747.00 
AK,"Wrangell-Petersburg Census Area, AK",
AK,"Yakutat Borough/city, AK",57687.00 
AK,"Yukon-Koyukuk Census Area, AK",37906.00 
AZ,"Apache County, AZ",34040.00 
AZ,"Cochise County, AZ",45151.00 
AZ,"Coconino County, AZ",53643.00 
AZ,"Gila County, AZ",40747.00 
AZ,"Graham County, AZ",46714.00 
AZ,"Greenlee County, AZ",61110.00 
AZ,"La Paz County, AZ",34285.00 
AZ,"Maricopa County, AZ",58742.00 
AZ,"Mohave County, AZ",42003.00 
AZ,"Navajo County, AZ",37440.00 
AZ,"Pima County, AZ",47644.00 
AZ,"Pinal County, AZ",52642.00 
AZ,"Santa Cruz County, AZ",39090.00 
AZ,"Yavapai County, AZ",49824.00 
AZ,"Yuma County, AZ",42998.00 
AR,"Arkansas County, AR",39726.00 
AR,"Ashley County, AR",41277.00 
AR,"Baxter County, AR",40147.00 
AR,"Benton County, AR",64072.00 
AR,"Boone County, AR",39881.00 
AR,"Bradley County, AR",34114.00 
AR,"Calhoun County, AR",33507.00 
AR,"Carroll County, AR",37145.00 
AR,"Chicot County, AR",29527.00 
AR,"Clark County, AR",37247.00 
AR,"Clay County, AR",36037.00 
AR,"Cleburne County, AR",42397.00 
AR,"Cleveland County, AR",45256.00 
AR,"Columbia County, AR",35322.00 
AR,"Conway County, AR",41892.00 
AR,"Craighead County, AR",44091.00 
AR,"Crawford County, AR",42941.00 
AR,"Crittenden County, AR",37627.00 
AR,"Cross County, AR",40970.00 
AR,"Dallas County, AR",33679.00 
AR,"Desha County, AR",32392.00 
AR,"Drew County, AR",40441.00 
AR,"Faulkner County, AR",50909.00 
AR,"Franklin County, AR",40091.00 
AR,"Fulton County, AR",33451.00 
AR,"Garland County, AR",42087.00 
AR,"Grant County, AR",54411.00 
AR,"Greene County, AR",45208.00 
AR,"Hempstead County, AR",38769.00 
AR,"Hot Spring County, AR",46313.00 
AR,"Howard County, AR",36166.00 
AR,"Independence County, AR",42520.00 
AR,"Izard County, AR",36987.00 
AR,"Jackson County, AR",35098.00 
AR,"Jefferson County, AR",38485.00 
AR,"Johnson County, AR",37205.00 
AR,"Lafayette County, AR",32288.00 
AR,"Lawrence County, AR",39015.00 
AR,"Lee County, AR",26912.00 
AR,"Lincoln County, AR",35419.00 
AR,"Little River County, AR",43567.00 
AR,"Logan County, AR",39361.00 
AR,"Lonoke County, AR",56247.00 
AR,"Madison County, AR",39059.00 
AR,"Marion County, AR",33950.00 
AR,"Miller County, AR",38412.00 
AR,"Mississippi County, AR",35846.00 
AR,"Monroe County, AR",32906.00 
AR,"Montgomery County, AR",36435.00 
AR,"Nevada County, AR",37612.00 
AR,"Newton County, AR",33107.00 
AR,"Ouachita County, AR",36016.00 
AR,"Perry County, AR",43819.00 
AR,"Phillips County, AR",29073.00 
AR,"Pike County, AR",34821.00 
AR,"Poinsett County, AR",36125.00 
AR,"Polk County, AR",32941.00 
AR,"Pope County, AR",42916.00 
AR,"Prairie County, AR",40340.00 
AR,"Pulaski County, AR",47966.00 
AR,"Randolph County, AR",38647.00 
AR,"St. Francis County, AR",39675.00 
AR,"Saline County, AR",63618.00 
AR,"Scott County, AR",34245.00 
AR,"Searcy County, AR",29747.00 
AR,"Sebastian County, AR",42559.00 
AR,"Sevier County, AR",38697.00 
AR,"Sharp County, AR",32379.00 
AR,"Stone County, AR",31955.00 
AR,"Union County, AR",41546.00 
AR,"Van Buren County, AR",38166.00 
AR,"Washington County, AR",46367.00 
AR,"White County, AR",44329.00 
AR,"Woodruff County, AR",30400.00 
AR,"Yell County, AR",38658.00 
CA,"Alameda County, CA",89472.00 
CA,"Alpine County, CA",57481.00 
CA,"Amador County, CA",59789.00 
CA,"Butte County, CA",45097.00 
CA,"Calaveras County, CA",57990.00 
CA,"Colusa County, CA",54861.00 
CA,"Contra Costa County, CA",90920.00 
CA,"Del Norte County, CA",39458.00 
CA,"El Dorado County, CA",75100.00 
CA,"Fresno County, CA",48323.00 
CA,"Glenn County, CA",46141.00 
CA,"Humboldt County, CA",43164.00 
CA,"Imperial County, CA",43327.00 
CA,"Inyo County, CA",53350.00 
CA,"Kern County, CA",49812.00 
CA,"Kings County, CA",51320.00 
CA,"Lake County, CA",40818.00 
CA,"Lassen County, CA",49793.00 
CA,"Los Angeles County, CA",61308.00 
CA,"Madera County, CA",49467.00 
CA,"Marin County, CA",103488.00 
CA,"Mariposa County, CA",51233.00 
CA,"Mendocino County, CA",45247.00 
CA,"Merced County, CA",47442.00 
CA,"Modoc County, CA",42890.00 
CA,"Mono County, CA",56574.00 
CA,"Monterey County, CA",62999.00 
CA,"Napa County, CA",73112.00 
CA,"Nevada County, CA",60501.00 
CA,"Orange County, CA",81642.00 
CA,"Placer County, CA",85326.00 
CA,"Plumas County, CA",53646.00 
CA,"Riverside County, CA",59951.00 
CA,"Sacramento County, CA",59728.00 
CA,"San Benito County, CA",73298.00 
CA,"San Bernardino County, CA",56194.00 
CA,"San Diego County, CA",70693.00 
CA,"San Francisco County/city, CA",101873.00 
CA,"San Joaquin County, CA",59038.00 
CA,"San Luis Obispo County, CA",69517.00 
CA,"San Mateo County, CA",107075.00 
CA,"Santa Barbara County, CA",66360.00 
CA,"Santa Clara County, CA",110843.00 
CA,"Santa Cruz County, CA",75929.00 
CA,"Shasta County, CA",46663.00 
CA,"Sierra County, CA",48099.00 
