State,Area_Name,N_POP_CHG_2017,POVALL_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2016,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),CrimeRate
AL,Alabama,14202.00 ,814197.00 ,2168444.00 ,2073106.00 ,95338.00 ,4.40 ,46309.00 ,89.19 ,65.40 ,79.30 ,427.40 
AK,Alaska,-1727.00 ,71916.00 ,362783.00 ,336806.00 ,25977.00 ,7.20 ,76144.00 ,76.75 ,54.37 ,94.85 ,635.80 
AZ,Arizona,107628.00 ,1107153.00 ,3312720.00 ,3151405.00 ,161315.00 ,4.90 ,53481.00 ,71.69 ,51.22 ,88.72 ,399.90 
AR,Arkansas,16048.00 ,497388.00 ,19001.00 ,17194.00 ,1807.00 ,9.50 ,39090.00 ,76.04 ,53.18 ,97.30 ,480.10 
CA,California,240177.00 ,5527621.00 ,33810.00 ,32280.00 ,1530.00 ,4.50 ,44329.00 ,67.43 ,47.85 ,88.85 ,396.10 
CO,Colorado,77049.00 ,598378.00 ,426116.00 ,406976.00 ,19140.00 ,4.50 ,79470.00 ,57.23 ,36.75 ,86.47 ,309.10 
CT,Connecticut,499.00 ,342171.00 ,3054.00 ,2995.00 ,59.00 ,1.90 ,46304.00 ,58.48 ,44.09 ,88.76 ,236.90 
DE,Delaware,9241.00 ,109592.00 ,139444.00 ,133191.00 ,6253.00 ,4.50 ,70258.00 ,64.07 ,50.36 ,90.73 ,489.10 
DC,District of Columbia,9636.00 ,119778.00 ,296289.00 ,282959.00 ,13330.00 ,4.50 ,67246.00 ,66.27 ,48.65 ,92.18 ,1244.40 
FL,Florida,327811.00 ,2986237.00 ,102929.00 ,98223.00 ,4706.00 ,4.60 ,56618.00 ,82.15 ,62.92 ,93.96 ,540.50 
GA,Georgia,115759.00 ,1612368.00 ,14622.00 ,14108.00 ,514.00 ,3.50 ,56158.00 ,77.20 ,55.53 ,94.69 ,377.30 
HI,Hawaii,-1145.00 ,132597.00 ,3836.00 ,3618.00 ,218.00 ,5.70 ,33735.00 ,51.70 ,35.05 ,83.41 ,259.20 
ID,Idaho,36917.00 ,228037.00 ,36132.00 ,35273.00 ,859.00 ,2.40 ,63164.00 ,64.39 ,45.35 ,95.80 ,212.20 
IL,Illinois,-33703.00 ,1620974.00 ,5131.00 ,4906.00 ,225.00 ,4.40 ,58738.00 ,63.26 ,45.90 ,94.23 ,370.00 
IN,Indiana,32811.00 ,899168.00 ,138602.00 ,129843.00 ,8759.00 ,6.30 ,50296.00 ,60.84 ,40.69 ,93.82 ,365.30 
IA,Iowa,14842.00 ,354429.00 ,13164.00 ,12728.00 ,436.00 ,3.30 ,47439.00 ,70.82 ,46.61 ,95.02 ,273.50 
KS,Kansas,5392.00 ,343773.00 ,4219.00 ,4089.00 ,130.00 ,3.10 ,54628.00 ,66.56 ,49.00 ,94.17 ,348.60 
KY,Kentucky,18076.00 ,782779.00 ,1589.00 ,1518.00 ,71.00 ,4.50 ,35417.00 ,81.53 ,57.45 ,96.08 ,211.60 
LA,Louisiana,-1824.00 ,911970.00 ,1967.00 ,1790.00 ,177.00 ,9.00 ,28443.00 ,50.76 ,36.69 ,86.68 ,514.70 
ME,Maine,5675.00 ,159523.00 ,5330.00 ,5106.00 ,224.00 ,4.20 ,56459.00 ,63.86 ,48.44 ,90.90 ,127.80 
MD,Maryland,27425.00 ,572786.00 ,14070.00 ,13379.00 ,691.00 ,4.90 ,37711.00 ,56.74 ,42.74 ,88.19 ,446.10 
MA,Massachusetts,36098.00 ,688366.00 ,25699.00 ,23514.00 ,2185.00 ,8.50 ,53509.00 ,53.92 ,39.85 ,90.51 ,391.40 
MI,Michigan,28866.00 ,1449683.00 ,433072.00 ,418378.00 ,14694.00 ,3.40 ,61367.00 ,53.29 ,34.30 ,90.03 ,427.30 
MN,Minnesota,51556.00 ,531789.00 ,789088.00 ,746415.00 ,42673.00 ,5.40 ,43570.00 ,78.08 ,54.88 ,95.77 ,229.10 
MS,Mississippi,-1315.00 ,606873.00 ,74355.00 ,71749.00 ,2606.00 ,3.50 ,76256.00 ,68.19 ,47.23 ,96.92 ,278.50 
MO,Missouri,22356.00 ,826358.00 ,5005.00 ,4730.00 ,275.00 ,5.50 ,35312.00 ,51.69 ,34.74 ,84.54 ,442.90 
MT,Montana,11837.00 ,136439.00 ,7539.00 ,7163.00 ,376.00 ,5.00 ,32722.00 ,63.53 ,41.45 ,91.49 ,323.70 
NE,Nebraska,12473.00 ,208864.00 ,492.00 ,476.00 ,16.00 ,3.30 ,47908.00 ,58.38 ,40.70 ,84.18 ,280.40 
NV,Nevada,58785.00 ,407308.00 ,565.00 ,552.00 ,13.00 ,2.30 ,46838.00 ,52.83 ,38.91 ,87.79 ,635.60 
NH,New Hampshire,7780.00 ,97753.00 ,4572.00 ,4388.00 ,184.00 ,4.00 ,54832.00 ,61.91 ,46.58 ,90.40 ,196.10 
NJ,New Jersey,27228.00 ,915390.00 ,72363.00 ,70660.00 ,1703.00 ,2.40 ,69467.00 ,68.00 ,46.32 ,86.65 ,261.20 
NM,New Mexico,2638.00 ,390461.00 ,276968.00 ,263748.00 ,13220.00 ,4.80 ,71801.00 ,54.72 ,40.71 ,88.47 ,597.40 
NY,New York,13113.00 ,2843954.00 ,1870.00 ,1799.00 ,71.00 ,3.80 ,37787.00 ,70.98 ,51.74 ,93.06 ,381.80 
NC,North Carolina,116730.00 ,1523034.00 ,18086.00 ,17057.00 ,1029.00 ,5.70 ,56089.00 ,52.56 ,33.86 ,87.62 ,329.50 
ND,North Dakota,-155.00 ,76951.00 ,17756.00 ,17043.00 ,713.00 ,4.00 ,46276.00 ,61.30 ,45.01 ,92.36 ,265.10 
OH,Ohio,36055.00 ,1639636.00 ,2183.00 ,2113.00 ,70.00 ,3.20 ,51677.00 ,77.10 ,51.89 ,97.11 ,284.90 
OK,Oklahoma,9657.00 ,615050.00 ,70693.00 ,67581.00 ,3112.00 ,4.40 ,60347.00 ,55.19 ,38.86 ,82.44 ,406.00 
