"Notes"	"County"	"County Code"	Avg Daily Max Heat Index (F)
	"Autauga County, AL"	"01001"	95.68
	"Baldwin County, AL"	"01003"	95.37
	"Barbour County, AL"	"01005"	95.22
	"Bibb County, AL"	"01007"	95.67
	"Blount County, AL"	"01009"	94.72
	"Bullock County, AL"	"01011"	95.40
	"Butler County, AL"	"01013"	95.29
	"Calhoun County, AL"	"01015"	94.44
	"Chambers County, AL"	"01017"	94.30
	"Cherokee County, AL"	"01019"	94.43
	"Chilton County, AL"	"01021"	95.13
	"Choctaw County, AL"	"01023"	96.27
	"Clarke County, AL"	"01025"	96.04
	"Clay County, AL"	"01027"	93.18
	"Cleburne County, AL"	"01029"	93.17
	"Coffee County, AL"	"01031"	95.17
	"Colbert County, AL"	"01033"	95.70
	"Conecuh County, AL"	"01035"	95.24
	"Coosa County, AL"	"01037"	94.81
	"Covington County, AL"	"01039"	95.15
	"Crenshaw County, AL"	"01041"	95.24
	"Cullman County, AL"	"01043"	94.79
	"Dale County, AL"	"01045"	95.17
	"Dallas County, AL"	"01047"	96.31
	"DeKalb County, AL"	"01049"	92.59
	"Elmore County, AL"	"01051"	95.79
	"Escambia County, AL"	"01053"	94.99
	"Etowah County, AL"	"01055"	94.53
	"Fayette County, AL"	"01057"	95.61
	"Franklin County, AL"	"01059"	95.01
	"Geneva County, AL"	"01061"	95.33
	"Greene County, AL"	"01063"	96.63
	"Hale County, AL"	"01065"	96.40
	"Henry County, AL"	"01067"	95.31
	"Houston County, AL"	"01069"	95.38
	"Jackson County, AL"	"01071"	93.48
	"Jefferson County, AL"	"01073"	95.35
	"Lamar County, AL"	"01075"	95.97
	"Lauderdale County, AL"	"01077"	95.59
	"Lawrence County, AL"	"01079"	95.27
	"Lee County, AL"	"01081"	94.65
	"Limestone County, AL"	"01083"	95.24
	"Lowndes County, AL"	"01085"	96.08
	"Macon County, AL"	"01087"	95.80
	"Madison County, AL"	"01089"	94.63
	"Marengo County, AL"	"01091"	96.42
	"Marion County, AL"	"01093"	95.15
	"Marshall County, AL"	"01095"	94.08
	"Mobile County, AL"	"01097"	95.42
	"Monroe County, AL"	"01099"	95.60
	"Montgomery County, AL"	"01101"	96.04
	"Morgan County, AL"	"01103"	95.17
	"Perry County, AL"	"01105"	96.07
	"Pickens County, AL"	"01107"	96.34
	"Pike County, AL"	"01109"	95.12
	"Randolph County, AL"	"01111"	93.61
	"Russell County, AL"	"01113"	95.57
	"St. Clair County, AL"	"01115"	94.68
	"Shelby County, AL"	"01117"	95.30
	"Sumter County, AL"	"01119"	96.56
	"Talladega County, AL"	"01121"	95.03
	"Tallapoosa County, AL"	"01123"	94.79
	"Tuscaloosa County, AL"	"01125"	96.01
	"Walker County, AL"	"01127"	95.87
	"Washington County, AL"	"01129"	95.93
	"Wilcox County, AL"	"01131"	96.31
	"Winston County, AL"	"01133"	94.95
	"Apache County, AZ"	"04001"	83.57
	"Cochise County, AZ"	"04003"	86.97
	"Coconino County, AZ"	"04005"	84.44
	"Gila County, AZ"	"04007"	86.88
	"Graham County, AZ"	"04009"	87.72
	"Greenlee County, AZ"	"04011"	86.02
	"La Paz County, AZ"	"04012"	93.21
	"Maricopa County, AZ"	"04013"	93.38
	"Mohave County, AZ"	"04015"	88.84
	"Navajo County, AZ"	"04017"	84.03
	"Pima County, AZ"	"04019"	90.44
	"Pinal County, AZ"	"04021"	92.31
	"Santa Cruz County, AZ"	"04023"	86.23
	"Yavapai County, AZ"	"04025"	86.80
	"Yuma County, AZ"	"04027"	94.12
	"Arkansas County, AR"	"05001"	97.93
	"Ashley County, AR"	"05003"	97.86
	"Baxter County, AR"	"05005"	96.89
	"Benton County, AR"	"05007"	95.72
	"Boone County, AR"	"05009"	95.62
	"Bradley County, AR"	"05011"	97.92
	"Calhoun County, AR"	"05013"	97.99
	"Carroll County, AR"	"05015"	94.98
	"Chicot County, AR"	"05017"	97.89
	"Clark County, AR"	"05019"	97.92
	"Clay County, AR"	"05021"	97.64
	"Cleburne County, AR"	"05023"	96.34
	"Cleveland County, AR"	"05025"	98.04
	"Columbia County, AR"	"05027"	97.68
	"Conway County, AR"	"05029"	97.23
	"Craighead County, AR"	"05031"	97.65
	"Crawford County, AR"	"05033"	96.70
	"Crittenden County, AR"	"05035"	97.76
	"Cross County, AR"	"05037"	97.71
	"Dallas County, AR"	"05039"	97.81
	"Desha County, AR"	"05041"	97.98
	"Drew County, AR"	"05043"	97.80
	"Faulkner County, AR"	"05045"	97.36
	"Franklin County, AR"	"05047"	96.88
	"Fulton County, AR"	"05049"	96.81
	"Garland County, AR"	"05051"	96.38
	"Grant County, AR"	"05053"	98.02
	"Greene County, AR"	"05055"	97.62
	"Hempstead County, AR"	"05057"	97.75
	"Hot Spring County, AR"	"05059"	97.39
	"Howard County, AR"	"05061"	96.72
	"Independence County, AR"	"05063"	97.61
	"Izard County, AR"	"05065"	97.15
	"Jackson County, AR"	"05067"	97.97
	"Jefferson County, AR"	"05069"	97.87
	"Johnson County, AR"	"05071"	95.80
	"Lafayette County, AR"	"05073"	97.87
	"Lawrence County, AR"	"05075"	97.89
	"Lee County, AR"	"05077"	97.77
	"Lincoln County, AR"	"05079"	98.09
	"Little River County, AR"	"05081"	98.04
	"Logan County, AR"	"05083"	96.87
	"Lonoke County, AR"	"05085"	97.63
	"Madison County, AR"	"05087"	93.44
	"Marion County, AR"	"05089"	96.55
	"Miller County, AR"	"05091"	98.08
	"Mississippi County, AR"	"05093"	97.59
	"Monroe County, AR"	"05095"	97.98
	"Montgomery County, AR"	"05097"	95.63
	"Nevada County, AR"	"05099"	97.85
	"Newton County, AR"	"05101"	94.02
	"Ouachita County, AR"	"05103"	98.15
	"Perry County, AR"	"05105"	96.95
	"Phillips County, AR"	"05107"	97.74
	"Pike County, AR"	"05109"	96.75
	"Poinsett County, AR"	"05111"	97.73
	"Polk County, AR"	"05113"	94.65
	"Pope County, AR"	"05115"	95.97
	"Prairie County, AR"	"05117"	97.92
	"Pulaski County, AR"	"05119"	97.45
	"Randolph County, AR"	"05121"	97.78
	"St. Francis County, AR"	"05123"	97.84
	"Saline County, AR"	"05125"	96.56
	"Scott County, AR"	"05127"	95.88
	"Searcy County, AR"	"05129"	95.22
	"Sebastian County, AR"	"05131"	97.35
	"Sevier County, AR"	"05133"	97.46
	"Sharp County, AR"	"05135"	97.48
	"Stone County, AR"	"05137"	95.91
	"Union County, AR"	"05139"	97.97
	"Van Buren County, AR"	"05141"	95.61
	"Washington County, AR"	"05143"	95.04
	"White County, AR"	"05145"	97.69
	"Woodruff County, AR"	"05147"	98.03
	"Yell County, AR"	"05149"	96.64
	"Alameda County, CA"	"06001"	84.80
	"Alpine County, CA"	"06003"	79.80
	"Amador County, CA"	"06005"	86.97
	"Butte County, CA"	"06007"	88.40
	"Calaveras County, CA"	"06009"	86.78
	"Colusa County, CA"	"06011"	89.42
	"Contra Costa County, CA"	"06013"	85.79
	"Del Norte County, CA"	"06015"	80.86
	"El Dorado County, CA"	"06017"	85.05
	"Fresno County, CA"	"06019"	90.81
	"Glenn County, CA"	"06021"	89.04
	"Humboldt County, CA"	"06023"	82.99
	"Imperial County, CA"	"06025"	95.12
	"Inyo County, CA"	"06027"	88.85
	"Kern County, CA"	"06029"	89.97
	"Kings County, CA"	"06031"	92.99
	"Lake County, CA"	"06033"	84.17
	"Lassen County, CA"	"06035"	81.50
