"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Autauga County, AL"	"01001"	77.70	54.51	95.10
	"Baldwin County, AL"	"01003"	78.16	59.58	94.80
	"Barbour County, AL"	"01005"	78.97	55.78	94.75
	"Bibb County, AL"	"01007"	76.76	53.85	94.96
	"Blount County, AL"	"01009"	73.79	53.04	94.36
	"Bullock County, AL"	"01011"	78.34	54.97	94.93
	"Butler County, AL"	"01013"	78.78	55.41	94.73
	"Calhoun County, AL"	"01015"	74.33	53.07	93.95
	"Chambers County, AL"	"01017"	76.02	54.44	93.99
	"Cherokee County, AL"	"01019"	73.50	53.30	94.14
	"Chilton County, AL"	"01021"	76.50	54.25	94.49
	"Choctaw County, AL"	"01023"	79.46	54.02	95.61
	"Clarke County, AL"	"01025"	80.41	54.28	95.46
	"Clay County, AL"	"01027"	73.85	53.01	92.75
	"Cleburne County, AL"	"01029"	73.50	52.58	92.79
	"Coffee County, AL"	"01031"	79.33	56.31	94.66
	"Colbert County, AL"	"01033"	73.11	53.65	95.16
	"Conecuh County, AL"	"01035"	79.47	56.23	94.67
	"Coosa County, AL"	"01037"	75.98	54.47	94.32
	"Covington County, AL"	"01039"	79.88	55.56	94.55
	"Crenshaw County, AL"	"01041"	78.62	55.23	94.65
	"Cullman County, AL"	"01043"	73.21	52.54	94.32
	"Dale County, AL"	"01045"	79.50	56.42	94.64
	"Dallas County, AL"	"01047"	79.07	54.32	95.73
	"DeKalb County, AL"	"01049"	70.71	52.53	92.41
	"Elmore County, AL"	"01051"	77.77	54.91	95.24
	"Escambia County, AL"	"01053"	79.69	56.28	94.51
	"Etowah County, AL"	"01055"	73.50	52.96	94.13
	"Fayette County, AL"	"01057"	75.58	53.60	95.16
	"Franklin County, AL"	"01059"	73.22	53.37	94.59
	"Geneva County, AL"	"01061"	80.65	55.58	94.84
	"Greene County, AL"	"01063"	78.17	53.27	96.01
	"Hale County, AL"	"01065"	78.32	53.68	95.85
	"Henry County, AL"	"01067"	79.37	56.41	94.85
	"Houston County, AL"	"01069"	80.55	55.97	94.89
	"Jackson County, AL"	"01071"	70.75	52.16	93.27
	"Jefferson County, AL"	"01073"	75.13	53.97	94.80
	"Lamar County, AL"	"01075"	76.53	52.79	95.51
	"Lauderdale County, AL"	"01077"	72.31	53.27	95.10
	"Lawrence County, AL"	"01079"	72.65	53.00	94.80
	"Lee County, AL"	"01081"	77.08	54.91	94.31
	"Limestone County, AL"	"01083"	72.03	52.61	94.83
	"Lowndes County, AL"	"01085"	78.76	54.94	95.46
	"Macon County, AL"	"01087"	78.43	55.15	95.32
	"Madison County, AL"	"01089"	71.48	52.45	94.28
	"Marengo County, AL"	"01091"	79.28	54.04	95.82
	"Marion County, AL"	"01093"	74.47	53.42	94.75
	"Marshall County, AL"	"01095"	72.07	52.38	93.75
	"Mobile County, AL"	"01097"	79.27	58.47	94.87
	"Monroe County, AL"	"01099"	79.93	54.94	95.12
	"Montgomery County, AL"	"01101"	78.49	55.14	95.47
	"Morgan County, AL"	"01103"	72.57	52.71	94.76
	"Perry County, AL"	"01105"	78.37	53.82	95.56
	"Pickens County, AL"	"01107"	77.53	52.79	95.79
	"Pike County, AL"	"01109"	78.43	55.44	94.61
	"Randolph County, AL"	"01111"	74.69	53.28	93.28
	"Russell County, AL"	"01113"	78.50	55.43	95.12
	"St. Clair County, AL"	"01115"	74.15	53.16	94.23
	"Shelby County, AL"	"01117"	75.36	54.27	94.68
	"Sumter County, AL"	"01119"	78.20	53.31	95.85
	"Talladega County, AL"	"01121"	75.03	53.68	94.48
	"Tallapoosa County, AL"	"01123"	76.53	54.55	94.40
	"Tuscaloosa County, AL"	"01125"	76.66	53.53	95.47
	"Walker County, AL"	"01127"	75.27	53.58	95.35
	"Washington County, AL"	"01129"	80.29	54.86	95.33
	"Wilcox County, AL"	"01131"	79.90	54.40	95.71
	"Winston County, AL"	"01133"	73.31	53.33	94.41
	"Apache County, AZ"	"04001"	61.82	43.07	83.79
	"Cochise County, AZ"	"04003"	74.84	52.09	87.04
	"Coconino County, AZ"	"04005"	63.68	44.56	84.41
	"Gila County, AZ"	"04007"	71.05	49.84	86.94
	"Graham County, AZ"	"04009"	73.66	51.55	87.86
	"Greenlee County, AZ"	"04011"	69.31	48.11	86.12
	"La Paz County, AZ"	"04012"	81.90	61.42	93.00
	"Maricopa County, AZ"	"04013"	82.76	60.90	93.32
	"Mohave County, AZ"	"04015"	71.68	52.13	88.59
	"Navajo County, AZ"	"04017"	63.76	45.16	84.21
	"Pima County, AZ"	"04019"	80.00	57.57	90.42
	"Pinal County, AZ"	"04021"	81.48	59.33	92.31
	"Santa Cruz County, AZ"	"04023"	74.68	51.61	86.29
	"Yavapai County, AZ"	"04025"	70.46	50.46	86.74
	"Yuma County, AZ"	"04027"	84.25	61.68	94.10
	"Arkansas County, AR"	"05001"	77.64	54.48	97.82
	"Ashley County, AR"	"05003"	80.45	55.30	97.38
	"Baxter County, AR"	"05005"	72.38	51.17	97.49
	"Benton County, AR"	"05007"	71.94	49.99	96.45
	"Boone County, AR"	"05009"	71.51	50.64	96.47
	"Bradley County, AR"	"05011"	80.50	54.19	97.73
	"Calhoun County, AR"	"05013"	80.79	53.78	97.92
	"Carroll County, AR"	"05015"	70.85	49.76	95.93
	"Chicot County, AR"	"05017"	79.64	54.70	97.43
	"Clark County, AR"	"05019"	79.64	54.97	98.01
	"Clay County, AR"	"05021"	72.09	51.84	98.11
	"Cleburne County, AR"	"05023"	72.75	53.02	96.50
	"Cleveland County, AR"	"05025"	79.04	53.20	97.88
	"Columbia County, AR"	"05027"	81.51	54.56	97.52
	"Conway County, AR"	"05029"	75.06	53.48	97.32
	"Craighead County, AR"	"05031"	73.49	52.26	97.95
	"Crawford County, AR"	"05033"	74.61	52.94	96.96
	"Crittenden County, AR"	"05035"	74.92	52.98	97.61
	"Cross County, AR"	"05037"	74.84	52.72	97.75
	"Dallas County, AR"	"05039"	79.35	53.32	97.78
	"Desha County, AR"	"05041"	78.57	54.56	97.69
	"Drew County, AR"	"05043"	79.39	54.67	97.48
	"Faulkner County, AR"	"05045"	75.04	53.70	97.35
	"Franklin County, AR"	"05047"	75.18	52.72	97.27
	"Fulton County, AR"	"05049"	71.04	50.83	97.50
	"Garland County, AR"	"05051"	76.95	54.28	96.53
	"Grant County, AR"	"05053"	78.52	52.52	98.07
	"Greene County, AR"	"05055"	72.59	52.50	98.04
	"Hempstead County, AR"	"05057"	80.81	54.46	97.73
	"Hot Spring County, AR"	"05059"	78.31	54.04	97.58
	"Howard County, AR"	"05061"	78.94	54.67	96.82
	"Independence County, AR"	"05063"	73.41	53.37	97.83
	"Izard County, AR"	"05065"	72.32	52.10	97.51
	"Jackson County, AR"	"05067"	74.24	52.70	98.30
	"Jefferson County, AR"	"05069"	77.95	53.14	97.86
	"Johnson County, AR"	"05071"	73.76	52.94	96.23
	"Lafayette County, AR"	"05073"	81.96	54.46	97.67
	"Lawrence County, AR"	"05075"	72.78	51.96	98.23
	"Lee County, AR"	"05077"	76.42	54.04	97.63
	"Lincoln County, AR"	"05079"	78.54	54.07	97.94
	"Little River County, AR"	"05081"	81.23	54.67	98.14
	"Logan County, AR"	"05083"	76.55	52.30	97.28
	"Lonoke County, AR"	"05085"	76.45	53.08	97.56
	"Madison County, AR"	"05087"	70.25	50.54	94.36
	"Marion County, AR"	"05089"	72.48	50.51	97.33
	"Miller County, AR"	"05091"	82.07	53.99	97.88
	"Mississippi County, AR"	"05093"	73.55	52.22	97.68
	"Monroe County, AR"	"05095"	76.97	54.05	97.95
	"Montgomery County, AR"	"05097"	76.50	54.37	95.93
