NOC ,NVDA,LMT ,DXC ,RTN ,STZ ,CTAS ,MSCI ,HRS ,HII,UNH,GD,AVGO,FISV,BA,ADBE,SPGI,GPN,ALGN,EA,CME ,ETFC,PGR ,NFLX ,NDAQ ,AMZN,TTWO ,FB ,IDXX ,TSS UN,WM UN,MA UN,AOS,ITW,MAR,MMC,CBOE,HUM,SYK,ANTM ,TDG,LRCX ,RSG ,MSFT ,V ,BSX ,BDX ,DPS ,LUV,ATVI
65.116,12.123,83.493,10.817,51.165,47.435,41.99,31.826,38.387,48.159,54.039,60.57,29.706,22.067,77.654,44.87,48.484,22.803,31.99,17.42,46.74,9.95,22.559,30.999,26.14,268.9,15.32,25.98,43.325,23.066,33.547,49.873,16.511,56.457,39.135,33.709,33.758,70.116,60.505,63.787,93.084,40.398,28.84,26.889,38.083,7.35,88.003,41.98,12.805,14.021
67.193,12.536,84.035,10.862,51.825,46.61,42.206,31.778,38.815,48.443,54.27,64.749,29.936,22.333,79.987,44.67,48.372,22.749,32.04,17.8,46.982,10.18,22.577,30.96,25.893,268.78,15.86,26.11,42.135,22.353,34.284,49.969,16.804,57.752,38.724,33.646,33.758,69.365,60.309,67.467,93.851,40.883,29.192,27.908,38.405,7.36,87.195,42.341,12.881,14.136
67.848,12.639,84.534,10.927,52.868,47.028,42.3,31.855,39.421,49.576,54.778,66.374,29.945,22.543,80.727,45.05,48.129,22.709,32.25,17.94,47.653,10.27,22.639,30.536,26.379,274.7,15.51,26.14,43.515,22.305,34.691,50.262,17.134,58.634,38.92,33.862,33.906,70.279,61.157,67.854,93.382,43.343,29.227,28.067,38.795,7.54,88.508,42.279,12.881,14.146
67.621,12.583,85.136,10.91,53.671,46.368,41.98,31.769,39.127,49.01,54.907,66.166,29.468,22.532,81.766,44.91,48.549,22.798,32.34,17.88,47.45,10.2,22.452,30.793,26.544,254.81,15.6,26.85,43.965,22.115,34.838,50.28,17.289,57.914,38.855,33.637,33.832,70.703,60.617,67.044,92.089,43.391,30.159,27.935,38.444,7.45,86.883,42.244,12.853,14.252
68.276,12.733,85.214,11.095,54.134,46.329,42.121,31.989,39.714,49.983,55.396,66.148,29.853,22.71,80.929,45.06,49.903,22.893,32.93,17.77,47.505,10.31,22.496,30.716,26.719,249.74,15.46,26.98,44.18,22.353,35.081,50.626,17.13,58.319,38.901,33.835,34.304,70.347,61.176,67.072,91.81,43.305,29.596,28.655,38.598,7.49,87.057,42.288,12.997,14.357
68.987,12.92,85.24,11.209,54.723,47.881,42.196,32.61,41.148,49.973,55.322,66.762,29.33,22.778,80.498,45.08,50.519,23.037,33.12,17.61,47.52,10.29,22.541,30.867,27.068,253.81,15.26,27.77,43.98,22.476,35.523,51.933,17.198,58.076,40.247,34.249,34.758,71.299,61.101,67.09,93.033,43.913,29.957,29.086,38.727,7.49,86.589,42.903,13.15,14.386
68.905,12.808,85.463,10.98,54.972,47.765,41.585,31.807,40.276,49.057,55.128,66.599,28.743,21.733,80.295,44.71,50.426,23.205,32.65,17.3,46.95,10.08,22.363,30.416,26.857,248.23,15.11,27.43,42.62,22.362,35.151,50.702,16.731,57.455,39.705,34.087,34.545,74.618,60.84,66.492,93.16,43.324,29.974,28.752,38.166,7.49,85.928,42.226,12.939,14.175
69.506,12.958,86.599,11.188,55.721,48.425,41.98,32.18,40.881,50.02,54.907,67.213,29.449,21.575,81.202,45.69,50.276,23.28,32.4,17.54,47.161,10.43,22.39,30.641,27.518,252.55,15.3,28.97,42.2,22.495,35.367,51.238,17.216,58.04,40.042,34.754,34.739,72.454,61.288,67.55,94.44,43.372,29.992,29.139,40.322,7.61,88.297,42.771,13.208,14.281
69.989,13.014,87.751,11.312,56.203,48.716,42.554,31.865,41.389,50.389,54.39,67.917,29.257,21.7,82.55,47.01,50.818,23.285,32.6,17.96,47.349,10.85,22.327,30.493,27.968,258.05,15.68,28.31,42.655,22.762,35.645,51.991,17.447,59.11,40.201,34.934,35.888,71.126,61.8,67.918,94.744,43.714,30.308,29.429,41.274,7.69,89.463,43.228,13.505,14.598
70.189,12.977,87.906,11.444,56.149,48.735,42.422,31.874,41.505,50.483,55.571,67.926,30.101,21.63,82.946,46.49,50.678,23.374,34.42,18.29,47.598,10.86,22.532,30.099,27.674,255.72,15.61,27.57,42.9,22.667,35.619,51.445,17.608,59.146,40.294,34.898,36.045,72.627,61.753,67.633,95.251,43.97,30.475,29.657,41.124,7.74,88.986,43.334,13.678,14.309
